file_fullname,n_reads_all,n_nucleotides_all,n_reads_good,n_nucleotides_good,n_reads_dup,n_nucleotides_dup,n_reads_unmapped,n_nucleotides_unmapped,n_reads_short,n_nucleotides_short,n_reads_long,n_nucleotides_long,chrM_count,short_lower,short_upper,long_lower,long_upper,depth,long_fraction,short_fraction,long_short_ratio
/mnt/scratcha/nrlab/wang04/external_dataset_download/delfi/delfi_ega_data/bamfiles/PGDX13689P1_WGS.sorted_processed.bam,94348542,9434854200,79208376,7920837600,509522,50952200,13922970,1392297000,12757126,1275712600,60478869,6047886900,843,90,150,151,210,2.400253818181818,0.7635413330529589,0.16105779015088,4.740791068458523
/mnt/scratcha/nrlab/wang04/external_dataset_download/delfi/delfi_ega_data/bamfiles/PGDX13762P1_WGS.sorted_processed.bam,82038686,8203868600,68533121,6853312100,431666,43166600,12416835,1241683500,8772232,877223200,53709395,5370939500,509,90,150,151,210,2.0767612424242423,0.7836998259571456,0.1279998907389611,6.122660116604303
/mnt/scratcha/nrlab/wang04/external_dataset_download/delfi/delfi_ega_data/bamfiles/PGDX13764P1_WGS.sorted_processed.bam,89385976,8938597600,74787107,7478710700,480632,48063200,13458788,1345878800,10641518,1064151800,57876294,5787629400,397,90,150,151,210,2.2662759696969696,0.7738806369391986,0.14229080956427423,5.438725377338082
/mnt/scratcha/nrlab/wang04/external_dataset_download/delfi/delfi_ega_data/bamfiles/PGDX13765P1_WGS.sorted_processed.bam,91066288,9106628800,75952010,7595201000,547843,54784300,13871193,1387119300,12457683,1245768300,58215321,5821532100,410,90,150,151,210,2.3015760606060605,0.7664750544455637,0.16402045186164263,4.673045621725966
/mnt/scratcha/nrlab/wang04/external_dataset_download/delfi/delfi_ega_data/bamfiles/PGDX13770P1_WGS.sorted_processed.bam,90053742,9005374200,73886165,7388616500,876400,87640000,14604385,1460438500,8886151,888615100,53236081,5323608100,2473,90,150,151,210,2.238974696969697,0.7205148758228282,0.12026813138833231,5.990904385937173
/mnt/scratcha/nrlab/wang04/external_dataset_download/delfi/delfi_ega_data/bamfiles/PGDX13775P1_WGS.sorted_processed.bam,100203686,10020368600,73848017,7384801700,589393,58939300,24971075,2497107500,8967397,896739700,57110960,5711096000,1368,90,150,151,210,2.237818696969697,0.773358071348077,0.12143043732643491,6.368733312465144
/mnt/scratcha/nrlab/wang04/external_dataset_download/delfi/delfi_ega_data/bamfiles/PGDX13784P1_WGS.sorted_processed.bam,91981356,9198135600,72952749,7295274900,607281,60728100,17682615,1768261500,7603248,760324800,55706235,5570623500,6102,90,150,151,210,2.2106893636363636,0.7635933636990156,0.1042215420833559,7.32663659004678
/mnt/scratcha/nrlab/wang04/external_dataset_download/delfi/delfi_ega_data/bamfiles/PGDX13787P1_WGS.sorted_processed.bam,105969634,10596963400,87738204,8773820400,518265,51826500,16859221,1685922100,11952550,1195255000,66552098,6655209800,1137,90,150,151,210,2.6587334545454544,0.758530434472992,0.13622970901022774,5.568025065780942
/mnt/scratcha/nrlab/wang04/external_dataset_download/delfi/delfi_ega_data/bamfiles/PGDX14551P1_WGS.sorted_processed.bam,82287894,8228789400,62917702,6291770200,844408,84440800,17820740,1782074000,10040838,1004083800,44657896,4465789600,3123,90,150,151,210,1.9065970303030304,0.7097826935891587,0.15958685204364267,4.447626383375571
/mnt/scratcha/nrlab/wang04/external_dataset_download/delfi/delfi_ega_data/bamfiles/PGDX15146P1_WGS.sorted_processed.bam,93196616,9319661600,76777196,7677719600,593370,59337000,15063694,1506369400,12341909,1234190900,56504385,5650438500,1658,90,150,151,210,2.326581696969697,0.7359527039773632,0.16074967103513393,4.578253250773442
/mnt/scratcha/nrlab/wang04/external_dataset_download/delfi/delfi_ega_data/bamfiles/PGDX15158P1_WGS.sorted_processed.bam,68652130,6865213000,56581111,5658111100,364964,36496400,11170507,1117050700,11950935,1195093500,40669669,4066966900,538,90,150,151,210,1.7145791212121213,0.7187852674013417,0.2112177507437067,3.4030533175856115
/mnt/scratcha/nrlab/wang04/external_dataset_download/delfi/delfi_ega_data/bamfiles/PGDX15160P1_WGS.sorted_processed.bam,59243820,5924382000,48104567,4810456700,430789,43078900,10236274,1023627400,5092817,509281700,36222694,3622269400,4290,90,150,151,210,1.4577141515151515,0.752999065556499,0.10586971918903251,7.11250649689553
/mnt/scratcha/nrlab/wang04/external_dataset_download/delfi/delfi_ega_data/bamfiles/PGDX15162P1_WGS.sorted_processed.bam,84863808,8486380800,70672351,7067235100,381458,38145800,13151589,1315158900,9814210,981421000,55365434,5536543400,820,90,150,151,210,2.1415863939393938,0.7834101061672619,0.1388691597368821,5.641354118161319
/mnt/scratcha/nrlab/wang04/external_dataset_download/delfi/delfi_ega_data/bamfiles/PGDX15164P1_WGS.sorted_processed.bam,84948812,8494881200,70276066,7027606600,384352,38435200,13605410,1360541000,8186319,818631900,56885935,5688593500,434,90,150,151,210,2.1295777575757575,0.809463850751122,0.1164880088763079,6.948902797460006
/mnt/scratcha/nrlab/wang04/external_dataset_download/delfi/delfi_ega_data/bamfiles/PGDX15168P1_WGS.sorted_processed.bam,66370046,6637004600,55049439,5504943900,256963,25696300,10547991,1054799100,9394738,939473800,41008733,4100873300,1113,90,150,151,210,1.6681648181818183,0.744943704149283,0.17066001344718518,4.365074683296117
/mnt/scratcha/nrlab/wang04/external_dataset_download/delfi/delfi_ega_data/bamfiles/PGDX16568P_WGS.sorted_processed.bam,114006104,11400610400,92896377,9289637700,1522945,152294500,18670167,1867016700,14782246,1478224600,67561523,6756152300,1439,90,150,151,210,2.8150417272727273,0.7272783415439334,0.15912618422137173,4.570450457934471
/mnt/scratcha/nrlab/wang04/external_dataset_download/delfi/delfi_ega_data/bamfiles/PGDX16569P_WGS.sorted_processed.bam,114446716,11444671600,90572166,9057216600,2004783,200478300,20919463,2091946300,15326863,1532686300,66774414,6677441400,2850,90,150,151,210,2.744611090909091,0.7372509342439707,0.16922266162873922,4.3566915160656166
/mnt/scratcha/nrlab/wang04/external_dataset_download/delfi/delfi_ega_data/bamfiles/PGDX16570P_WGS.sorted_processed.bam,121990108,12199010800,96812110,9681211000,773512,77351200,23361593,2336159300,16738775,1673877500,71438263,7143826300,659,90,150,151,210,2.933700303030303,0.7379062701969826,0.1728995990274357,4.26783100913896
/mnt/scratcha/nrlab/wang04/external_dataset_download/delfi/delfi_ega_data/bamfiles/PGDX16571P_WGS.sorted_processed.bam,102018976,10201897600,81725419,8172541900,595078,59507800,18835763,1883576300,13053981,1305398100,60419296,6041929600,967,90,150,151,210,2.4765278484848485,0.739296252491529,0.15972975311389961,4.628419177260945
/mnt/scratcha/nrlab/wang04/external_dataset_download/delfi/delfi_ega_data/bamfiles/PGDX16579P_WGS_X1.sorted_processed.bam,110050874,11005087400,89431509,8943150900,580963,58096300,19153485,1915348500,14444583,1444458300,63328137,6332813700,1084,90,150,151,210,2.7100457272727274,0.7081188465689425,0.16151559066279425,4.384213583735854
/mnt/scratcha/nrlab/wang04/external_dataset_download/delfi/delfi_ega_data/bamfiles/PGDX16580P_WGS.sorted_processed.bam,128914628,12891462800,103513623,10351362300,791619,79161900,23570868,2357086800,16592559,1659255900,77097962,7709796200,708,90,150,151,210,3.1367764545454544,0.7448098111685261,0.1602934813710462,4.646538366987274
/mnt/scratcha/nrlab/wang04/external_dataset_download/delfi/delfi_ega_data/bamfiles/PGDX16581P_WGS.sorted_processed.bam,119618416,11961841600,96011843,9601184300,720430,72043000,21906553,2190655300,19567194,1956719400,67668785,6766878500,944,90,150,151,210,2.909449787878788,0.704796230190061,0.20379979582310487,3.4582774106496825
/mnt/scratcha/nrlab/wang04/external_dataset_download/delfi/delfi_ega_data/bamfiles/PGDX16582P_WGS.sorted_processed.bam,136054890,13605489000,108409395,10840939500,971980,97198000,25494549,2549454900,19508086,1950808600,76539156,7653915600,935,90,150,151,210,3.285133181818182,0.7060195843727382,0.17994829691651723,3.9234579958279863
/mnt/scratcha/nrlab/wang04/external_dataset_download/delfi/delfi_ega_data/bamfiles/PGDX16583P_WGS_X1.sorted_processed.bam,83340534,8334053400,68118324,6811832400,447586,44758600,14050820,1405082000,13274613,1327461300,49295607,4929560700,269,90,150,151,210,2.0641916363636366,0.7236761579747617,0.19487580170058205,3.713524981858228
/mnt/scratcha/nrlab/wang04/external_dataset_download/delfi/delfi_ega_data/bamfiles/PGDX16583P_WGS.sorted_processed.bam,18180902,1818090200,14917240,1491724000,92639,9263900,3012497,301249700,2907062,290706200,10797175,1079717500,51,90,150,151,210,0.45203757575757575,0.7238051408973778,0.19487934765412368,3.714119272309982
/mnt/scratcha/nrlab/wang04/external_dataset_download/delfi/delfi_ega_data/bamfiles/PGDX16584P_WGS.sorted_processed.bam,144000276,14400027600,113426880,11342688000,1041000,104100000,28329949,2832994900,19680093,1968009300,81043591,8104359100,1155,90,150,151,210,3.4371781818181817,0.7145007514973523,0.17350466661870625,4.1180491880805645
/mnt/scratcha/nrlab/wang04/external_dataset_download/delfi/delfi_ega_data/bamfiles/PGDX16585P_WGS.sorted_processed.bam,62087668,6208766800,51350502,5135050200,287789,28778900,9937094,993709400,8125663,812566300,38051563,3805156300,577,90,150,151,210,1.5560758181818182,0.7410163779898393,0.1582392125397333,4.682887168714725
/mnt/scratcha/nrlab/wang04/external_dataset_download/delfi/delfi_ega_data/bamfiles/PGDX16586P_WGS.sorted_processed.bam,112829228,11282922800,90527055,9052705500,727112,72711200,20643474,2064347400,14185925,1418592500,65240197,6524019700,1214,90,150,151,210,2.7432440909090907,0.7206707099883013,0.15670370587002969,4.5989385253340895
/mnt/scratcha/nrlab/wang04/external_dataset_download/delfi/delfi_ega_data/bamfiles/PGDX16587P_WGS.sorted_processed.bam,135406896,13540689600,109689479,10968947900,882537,88253700,23697043,2369704300,18504921,1850492100,79551170,7955117000,1136,90,150,151,210,3.323923606060606,0.7252397470134762,0.16870278871504166,4.298919730594905
/mnt/scratcha/nrlab/wang04/external_dataset_download/delfi/delfi_ega_data/bamfiles/PGDX16588P_WGS.sorted_processed.bam,103435378,10343537800,85095814,8509581400,733546,73354600,16771020,1677102000,14000196,1400019600,59940525,5994052500,916,90,150,151,210,2.57866103030303,0.7043886436059005,0.16452273433802514,4.281406131742727
/mnt/scratcha/nrlab/wang04/external_dataset_download/delfi/delfi_ega_data/bamfiles/PGDX16591P_WGS.sorted_processed.bam,127963000,12796300000,102345403,10234540300,818011,81801100,23744669,2374466900,14939259,1493925900,76711342,7671134200,960,90,150,151,210,3.1013758484848486,0.7495338310407552,0.14596902803734135,5.134882660512145
/mnt/scratcha/nrlab/wang04/external_dataset_download/delfi/delfi_ega_data/bamfiles/PGDX16592P_WGS.sorted_processed.bam,131230354,13123035400,103821519,10382151900,767227,76722700,25632481,2563248100,13116846,1311684600,78854698,7885469800,1107,90,150,151,210,3.1461066363636365,0.7595217134128042,0.12634033990583396,6.011711809378566
/mnt/scratcha/nrlab/wang04/external_dataset_download/delfi/delfi_ega_data/bamfiles/PGDX16593P_WGS.sorted_processed.bam,101842188,10184218800,82230928,8223092800,564440,56444000,18200563,1820056300,10830065,1083006500,62874147,6287414700,631,90,150,151,210,2.491846303030303,0.7646046144584432,0.1317030618941817,5.805518895777634
/mnt/scratcha/nrlab/wang04/external_dataset_download/delfi/delfi_ega_data/bamfiles/PGDX16594P_WGS.sorted_processed.bam,146552602,14655260200,110030609,11003060900,912102,91210200,34484332,3448433200,12369058,1236905800,85628614,8562861400,1170,90,150,151,210,3.334260878787879,0.7782253936266044,0.11241470089473012,6.922808026286238
/mnt/scratcha/nrlab/wang04/external_dataset_download/delfi/delfi_ega_data/bamfiles/PGDX16597P_WGS.sorted_processed.bam,97155766,9715576600,76863687,7686368700,476600,47660000,19004842,1900484200,13626376,1362637600,55764802,5576480200,623,90,150,151,210,2.3292026363636364,0.7255025640391151,0.1772797602071834,4.0924162080952415
/mnt/scratcha/nrlab/wang04/external_dataset_download/delfi/delfi_ega_data/bamfiles/PGDX16598P_WGS.sorted_processed.bam,150862980,15086298000,123694845,12369484500,836719,83671900,24968880,2496888000,18745282,1874528200,93517743,9351774300,2831,90,150,151,210,3.7483286363636363,0.7560358962412702,0.15154456921790072,4.9888682922988306
/mnt/scratcha/nrlab/wang04/external_dataset_download/delfi/delfi_ega_data/bamfiles/PGDX16600P_WGS.sorted_processed.bam,88835362,8883536200,73025453,7302545300,376076,37607600,14696673,1469667300,13018817,1301881700,55520134,5552013400,1198,90,150,151,210,2.2128925151515153,0.7602846914212227,0.17827779856428963,4.264606684309335
/mnt/scratcha/nrlab/wang04/external_dataset_download/delfi/delfi_ega_data/bamfiles/PGDX16601P_WGS.sorted_processed.bam,90142184,9014218400,74366349,7436634900,442949,44294900,14569838,1456983800,11513786,1151378600,58059627,5805962700,1729,90,150,151,210,2.253525727272727,0.7807244510551405,0.15482521536723554,5.042618214373621
/mnt/scratcha/nrlab/wang04/external_dataset_download/delfi/delfi_ega_data/bamfiles/PGDX16602P_WGS.sorted_processed.bam,103656616,10365661600,82679991,8267999100,498850,49885000,19602017,1960201700,19009206,1900920600,57849003,5784900300,6384,90,150,151,210,2.5054542727272726,0.6996735522141022,0.22991301486716417,3.0432098531627254
